GLAUX_TEXT_ID	TLG	STARTDATE	ENDDATE	AUTHOR_STANDARD	TITLE_STANDARD	GENRE_STANDARD	DIALECT	SOURCE	SOURCE_LICENSE	SOURCE_FORMAT	TOKENS	TM_TEXT	TREEBANK_ANNOTATIONS	ORIGINAL_TREEBANK_LINK	TREEBANK_ANNOTATORS
1	0012-001	-800	-701	Homerus	Ilias	Epic poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	129604	511	Perseus Ancient Greek Dependency Treebank	https://github.com/PerseusDL/treebank_data	Giuseppe G. A. Celano, Gregory R. Crane, Bridget Almas, Alex Lessie, James C. D'Amico, Brian Livingston, Calliopi Dourou, C. Dan Earley, Connor Hayden, Daniel Lim Libatique, Francis Hartel, George Matthews, J. F. Gentile, Jennifer Adams, Jessica Nord, Jennifer Curtin, Mary Ebbott, Meg Luthin, Molly Miller, Michael Kinney, Jack Mitchell, Sam Zukoff, Scott J. Dube, Tovah Keynton, W. B. Dolan
2	0012-002	-800	-701	Homerus	Odyssea	Epic poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	104364	512	Perseus Ancient Greek Dependency Treebank	https://github.com/PerseusDL/treebank_data	Giuseppe G. A. Celano, Gregory R. Crane, Bridget Almas, Alex Lessie, Daniel Lim Libatique, Florin Leonte, Jack Mitchell, J. F. Gentile, Jessica Nord, Meg Luthin, Molly Miller, Anthony D. Yates, Tovah Keynton
3	0012-003	-800	-701	Homerus	Epigrammata	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	26	12612	NA	NA	NA
4	1351-001	-800	-701	Epigoni	Epigoni	Epic poetry	Ionic/Epic	https://sententiaeantiquae.com	NA	TXT	60	13805 / 15768	NA	NA	NA
5	1547-001	-800	-701	Oedipodea	Oedipodea	Epic poetry	Ionic/Epic	https://sententiaeantiquae.com	NA	TXT	15	12913	NA	NA	NA
6	1712-001	-800	-701	Thebaïs	Thebaïs	Epic poetry	Ionic/Epic	https://sententiaeantiquae.com	NA	TXT	157	13811	NA	NA	NA
7	0298-001	-800	-601	Eumelus	Fragmentum	Lyric poetry	Ionic/Epic	http://remacle.org	NA	TXT	14	2272	NA	NA	NA
9	0020-001	-800	-601	Hesiodus	Theogonia	Epic poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	8101	513	Perseus Ancient Greek Dependency Treebank	https://github.com/PerseusDL/treebank_data	Giuseppe G. A. Celano, Gregory R. Crane, Bridget Almas, Alex Lessie, George Matthews, J. F. Gentile, Molly Miller
10	0020-002	-800	-601	Hesiodus	Opera et dies	Epic poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	6954	796	Perseus Ancient Greek Dependency Treebank	https://github.com/PerseusDL/treebank_data	Giuseppe G. A. Celano, Gregory R. Crane, Bridget Almas, Alex Lessie, J. F. Gentile, Meg Luthin, Molly Miller, Sam Zukoff, Tovah Keynton
11	0020-003	-800	-601	Hesiodus	Scutum	Epic poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	3834	1341	Perseus Ancient Greek Dependency Treebank	https://github.com/PerseusDL/treebank_data	Giuseppe G. A. Celano, Gregory R. Crane, Bridget Almas, Alex Lessie, Daniel Lim Libatique, J. F. Gentile, Sam Zukoff
12	0020-004	-800	-601	Hesiodus	Fragmenta	Epic poetry	Ionic/Epic	https://www.hs-augsburg.de/~harsch/augustana.html	NA	TXT	9107	794 / 795 / 1915	NA	NA	NA
13	0020-006	-800	-601	Hesiodus	Fragmenta astronomica	Scientific Poetry	Ionic/Epic	https://en.wikisource.org	CC-BY-SA 3.0	TXT	38	15962	NA	NA	NA
14	0020-007	-800	-601	Hesiodus	Fragmenta	Epic poetry	Ionic/Epic	https://www.hs-augsburg.de/~harsch/augustana.html	NA	TXT	513	1915	NA	NA	NA
15	0020-008	-800	-601	Hesiodus	Fragmentum	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	TXT	7	1915	NA	NA	NA
18	0232-002	-700	-601	Archilochus	Fragmenta lyrica	Lyric poetry	Ionic/Epic	http://aoidoi.org	NA	TXT	319	2188	NA	NA	NA
19	0232-003	-700	-601	Archilochus	Epigrammata	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	26	12604	NA	NA	NA
22	1296-001	-700	-601	Cypria	Cypria	Epic poetry	Ionic/Epic	First1K	CC BY-SA 4.0	XML	412	2817 / 14457	NA	NA	NA
23	1444-001	-700	-601	Ilias Parva	Ilias parva	Epic poetry	Ionic/Epic	https://zenodo.org/record/437896	CC BY 4.0	TXT	390	1407	NA	NA	NA
24	1445-001	-700	-601	Iliu Persis	Iliu persis	Epic poetry	Ionic/Epic	https://zenodo.org/record/437896	CC BY 4.0	TXT	96	13807	NA	NA	NA
25	0013-001	-700	-601	Hymni Homerici	Fragmenta hymni in Bacchum	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	180	2304	NA	NA	NA
26	0013-005	-700	-601	Hymni Homerici	In Venerem	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	2393	11435	NA	NA	NA
27	0013-009	-700	-601	Hymni Homerici	In Dianam	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	67	11438	NA	NA	NA
29	0255-002	-700	-601	Mimnermus	Epigramma	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	17	12614	NA	NA	NA
32	0299-001	-700	-601	Terpander	Fragmenta	Lyric poetry	Doric	https://archive.org/details/greekmelicpoets00smytuoft	NA	TXT	70	10428	NA	NA	NA
33	1737-001	-700	-601	Titanomachia	Titanomachia	Epic poetry	Ionic/Epic	https://zenodo.org/record/437896	CC BY 4.0	TXT	125	13812	NA	NA	NA
37	0696-002	-700	-501	Alcmaeonis	Alcmaeonis	Epic poetry	Ionic/Epic	https://sententiaeantiquae.com	NA	TXT	51	13797	NA	NA	NA
38	1182-004	-700	-501	Aristeas	Fragmenta epica	Epic poetry	Ionic/Epic	https://sententiaeantiquae.com	NA	TXT	91	14049	NA	NA	NA
39	0241-003	-700	-501	Aristoxenus	Fragmentum	Comedy	Doric	https://archive.org/details/comicorumgraecor11kaib	NA	TXT	10	10263	NA	NA	NA
41	0242-003	-700	-501	Asius	Fragmenta epica	Lyric poetry	Ionic/Epic	https://zenodo.org/record/437896	CC BY 4.0	TXT	98	12820	NA	NA	NA
43	1274-002	-700	-501	Cleobulus	Epigrammata	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	72	12606	NA	NA	NA
44	0364-001	-700	-501	Danaïs vel Danaïdes	Danaïs vel Danaïdes	Epic poetry	Ionic/Epic	http://remacle.org	NA	TXT	13	13792	NA	NA	NA
45	1541-001	-700	-501	Nostoi	Nostoi	Epic poetry	Ionic/Epic	https://zenodo.org/record/437896	CC BY 4.0	TXT	38	13808	NA	NA	NA
46	0013-006	-700	-501	Hymni Homerici	In Venerem	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	153	11436	NA	NA	NA
47	0013-007	-700	-501	Hymni Homerici	In Bacchum	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	508	11430	NA	NA	NA
48	0013-010	-700	-501	Hymni Homerici	In Venerem	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	47	11439	NA	NA	NA
49	0013-011	-700	-501	Hymni Homerici	In Minervam	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	42	11440	NA	NA	NA
50	0013-012	-700	-501	Hymni Homerici	In Junonem	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	35	11441	NA	NA	NA
51	0013-013	-700	-501	Hymni Homerici	In Cererem	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	29	11442	NA	NA	NA
52	0013-014	-700	-501	Hymni Homerici	In matrem deorum	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	51	11443	NA	NA	NA
53	0013-016	-700	-501	Hymni Homerici	In Aesculapium	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	42	11445	NA	NA	NA
54	0013-017	-700	-501	Hymni Homerici	In Dioscuros	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	35	11446	NA	NA	NA
55	0013-021	-700	-501	Hymni Homerici	In Apollinem	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	46	11450	NA	NA	NA
56	0013-022	-700	-501	Hymni Homerici	In Neptunum	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	58	11451	NA	NA	NA
57	0013-023	-700	-501	Hymni Homerici	In Jovem	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	30	11452	NA	NA	NA
58	0013-024	-700	-501	Hymni Homerici	In Vestam	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	39	11453	NA	NA	NA
59	0013-025	-700	-501	Hymni Homerici	In Musas et Apollinem	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	61	11454	NA	NA	NA
60	0013-026	-700	-501	Hymni Homerici	In Bacchum	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	103	11431	NA	NA	NA
61	0013-027	-700	-501	Hymni Homerici	In Dianam	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	156	11455	NA	NA	NA
62	0013-028	-700	-501	Hymni Homerici	In Minervam	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	138	11456	NA	NA	NA
63	0013-029	-700	-501	Hymni Homerici	In Vestam	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	116	11457	NA	NA	NA
64	0013-030	-700	-501	Hymni Homerici	In Tellurem matrem omnium	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	158	11458	NA	NA	NA
66	1607-002	-700	-501	Phoronis	Phoronis	Epic poetry	Ionic/Epic	https://zenodo.org/record/437896	CC BY 4.0	TXT	92	14084	NA	NA	NA
67	0288-001	-700	-501	Pisander	Heraclea	Epic poetry	Ionic/Epic	https://zenodo.org/record/437896	CC BY 4.0	TXT	30	15965	NA	NA	NA
68	0288-003	-700	-501	Pisander	Epigramma	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	37	12737	NA	NA	NA
69	0631-001	-700	-501	Pittacus	Fragmentum	Lyric poetry	Ionic/Epic	http://www.fysis.cz	NA	TXT	24	8713	NA	NA	NA
70	0631-002	-700	-501	Pittacus	Epigramma	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	9	8713	NA	NA	NA
71	0253-001	-700	-501	Homerus	Margites	Lyric poetry	Ionic/Epic	https://www.persee.fr/doc/ista_0000-0000_2011_act_1200_1_2937	CC BY-NC-ND 4.0	TXT	143	812	NA	NA	NA
73	0009-002	-700	-501	Sappho	Epigrammata	Lyric poetry	Aeolic	Perseus	CC BY-SA 4.0	TXT	83	12626	Pedalion Trees	https://github.com/perseids-publications/pedalion-trees/	Yoran Joosten, Alek Keersmaekers, Toon Van Hal
76	1667-004	-700	-501	Septem Sapientes	Sententiae	Lyric poetry	Attic	http://chaerephon.e-monsite.com	NA	TXT	673		NA	NA	NA
77	1667-005	-700	-501	Septem Sapientes	Praecepta	Lyric poetry	Attic	http://chaerephon.e-monsite.com	NA	TXT	535		NA	NA	NA
82	0668-001	-600	-501	Aegimius	Aegimius	Epic poetry	Ionic/Epic	https://github.com/OpenGreekAndLatin/fragmentary-dev	NA	TXT	92	15967	NA	NA	NA
85	0237-003	-600	-501	Anacreon	Fragmenta	Lyric poetry	Ionic/Epic	https://books.openedition.org/pur/33241	OpenEdition Books License	TXT	11	2175	NA	NA	NA
86	0237-004	-600	-501	Anacreon	Epigrammata	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	454	11629 / 2175	NA	NA	NA
88	0365-001	-600	-501	Apollodorus	Fragmentum	Lyric poetry	Ionic/Epic	Loeb (public domain)	NA	TXT	9	10797	NA	NA	NA
